,code_bss,bss_id,date_mesure,niveau_nappe_eau,mode_obtention,nom_producteur
107,10906X0039/C2-1,BSS002MNYD,2000-07-30,103.99,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
108,10906X0039/C2-1,BSS002MNYD,2000-07-31,104.02,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
109,10906X0039/C2-1,BSS002MNYD,2000-08-01,104.05,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
110,10906X0039/C2-1,BSS002MNYD,2000-08-02,104.06,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
111,10906X0039/C2-1,BSS002MNYD,2000-08-03,104.08,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
112,10906X0039/C2-1,BSS002MNYD,2000-08-04,104.08,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
113,10906X0039/C2-1,BSS002MNYD,2000-08-05,104.06,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
114,10906X0039/C2-1,BSS002MNYD,2000-08-06,104.05,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
115,10906X0039/C2-1,BSS002MNYD,2000-08-07,104.07,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
116,10906X0039/C2-1,BSS002MNYD,2000-08-08,104.09,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
117,10906X0039/C2-1,BSS002MNYD,2000-08-09,104.09,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
118,10906X0039/C2-1,BSS002MNYD,2000-08-10,104.07,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
119,10906X0039/C2-1,BSS002MNYD,2000-08-11,104.09,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
120,10906X0039/C2-1,BSS002MNYD,2000-08-12,104.18,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
121,10906X0039/C2-1,BSS002MNYD,2000-08-13,104.21,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
122,10906X0039/C2-1,BSS002MNYD,2000-08-14,104.22,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
123,10906X0039/C2-1,BSS002MNYD,2000-08-15,104.23,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
124,10906X0039/C2-1,BSS002MNYD,2000-08-16,104.25,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
125,10906X0039/C2-1,BSS002MNYD,2000-08-17,104.21,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
126,10906X0039/C2-1,BSS002MNYD,2000-08-18,104.21,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
127,10906X0039/C2-1,BSS002MNYD,2000-08-19,104.22,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
128,10906X0039/C2-1,BSS002MNYD,2000-08-20,104.19,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
129,10906X0039/C2-1,BSS002MNYD,2000-08-21,104.19,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
130,10906X0039/C2-1,BSS002MNYD,2000-08-22,104.23,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
131,10906X0039/C2-1,BSS002MNYD,2000-08-23,104.22,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
132,10906X0039/C2-1,BSS002MNYD,2000-08-24,104.19,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
133,10906X0039/C2-1,BSS002MNYD,2000-08-25,104.23,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
134,10906X0039/C2-1,BSS002MNYD,2000-08-26,104.23,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
135,10906X0039/C2-1,BSS002MNYD,2000-08-27,104.19,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
136,10906X0039/C2-1,BSS002MNYD,2000-08-28,104.2,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
137,10906X0039/C2-1,BSS002MNYD,2000-08-29,104.2,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
138,10906X0039/C2-1,BSS002MNYD,2000-08-30,104.18,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
139,10906X0039/C2-1,BSS002MNYD,2000-08-31,104.19,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
140,10906X0039/C2-1,BSS002MNYD,2000-09-01,104.18,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
141,10906X0039/C2-1,BSS002MNYD,2000-09-02,104.17,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
142,10906X0039/C2-1,BSS002MNYD,2000-09-03,104.15,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
143,10906X0039/C2-1,BSS002MNYD,2000-09-04,104.16,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
144,10906X0039/C2-1,BSS002MNYD,2000-09-05,104.18,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
